0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:31 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:39 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:39 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:47 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:59 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [23/May/2023:17:37:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:39:44 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:17:39:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:40:00 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [23/May/2023:17:40:00 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:40:07 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [23/May/2023:17:40:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:44:31 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:17:44:31 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:44:39 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [23/May/2023:17:44:39 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:17:44:45 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 500 7309
